,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area,Item,hg/ha_yield
138,1998,89.0,322.84,17.14,Algeria,Maize,17222
139,1998,89.0,322.84,17.14,Algeria,Potatoes,160256
140,1998,89.0,322.84,17.14,Algeria,"Rice, paddy",15000
141,1998,89.0,322.84,17.14,Algeria,Sorghum,24500
142,1998,89.0,322.84,17.14,Algeria,Wheat,8847
143,1999,89.0,654.45,17.97,Algeria,Maize,22375
144,1999,89.0,654.45,17.97,Algeria,Potatoes,153532
145,1999,89.0,654.45,17.97,Algeria,"Rice, paddy",13942
146,1999,89.0,654.45,17.97,Algeria,Sorghum,27000
147,1999,89.0,654.45,17.97,Algeria,Wheat,10711
148,2000,89.0,603.67,17.9,Algeria,Maize,36186
149,2000,89.0,603.67,17.9,Algeria,Potatoes,166143
150,2000,89.0,603.67,17.9,Algeria,"Rice, paddy",13052
151,2000,89.0,603.67,17.9,Algeria,Sorghum,69500
152,2000,89.0,603.67,17.9,Algeria,Wheat,9194
153,2001,89.0,710.11,18.13,Algeria,Maize,27175
154,2001,89.0,710.11,18.13,Algeria,Potatoes,147018
155,2001,89.0,710.11,18.13,Algeria,"Rice, paddy",12314
156,2001,89.0,710.11,18.13,Algeria,Sorghum,27750
157,2001,89.0,710.11,18.13,Algeria,Wheat,11104
158,2002,89.0,816.55,17.85,Algeria,Maize,33480
159,2002,89.0,816.55,17.85,Algeria,Potatoes,183774
160,2002,89.0,816.55,17.85,Algeria,"Rice, paddy",12959
161,2002,89.0,816.55,17.85,Algeria,Sorghum,33900
162,2002,89.0,816.55,17.85,Algeria,Wheat,10739
163,2004,89.0,3747.86,17.38,Algeria,Maize,31729
164,2004,89.0,3747.86,17.38,Algeria,Potatoes,203585
165,2004,89.0,3747.86,17.38,Algeria,"Rice, paddy",12829
166,2004,89.0,3747.86,17.38,Algeria,Sorghum,43316
167,2004,89.0,3747.86,17.38,Algeria,Wheat,13582
168,2005,89.0,3662.87,17.19,Algeria,Maize,33864
169,2005,89.0,3662.87,17.19,Algeria,Potatoes,216267
170,2005,89.0,3662.87,17.19,Algeria,"Rice, paddy",12998
171,2005,89.0,3662.87,17.19,Algeria,Sorghum,33486
172,2005,89.0,3662.87,17.19,Algeria,Wheat,15057
173,2006,89.0,4110.72,18.13,Algeria,Maize,65668
174,2006,89.0,4110.72,18.13,Algeria,Potatoes,220689
175,2006,89.0,4110.72,18.13,Algeria,"Rice, paddy",12769
176,2006,89.0,4110.72,18.13,Algeria,Sorghum,56728
177,2006,89.0,4110.72,18.13,Algeria,Wheat,15068
178,2007,89.0,5390.79,17.42,Algeria,Maize,85625
179,2007,89.0,5390.79,17.42,Algeria,Potatoes,189927
180,2007,89.0,5390.79,17.42,Algeria,"Rice, paddy",13375
181,2007,89.0,5390.79,17.42,Algeria,Sorghum,119059
182,2007,89.0,5390.79,17.42,Algeria,Wheat,12742
183,2008,89.0,11556.12,17.55,Algeria,Maize,44714
184,2008,89.0,11556.12,17.55,Algeria,Potatoes,236393
185,2008,89.0,11556.12,17.55,Algeria,"Rice, paddy",13952
186,2008,89.0,11556.12,17.55,Algeria,Sorghum,61786
187,2008,89.0,11556.12,17.55,Algeria,Wheat,11038
188,2009,89.0,3867.99,17.78,Algeria,Maize,30914
189,2009,89.0,3867.99,17.78,Algeria,Potatoes,250764
190,2009,89.0,3867.99,17.78,Algeria,"Rice, paddy",14594
191,2009,89.0,3867.99,17.78,Algeria,Sorghum,90465
192,2009,89.0,3867.99,17.78,Algeria,Wheat,15975
193,2010,89.0,1295.88,17.59,Algeria,Maize,25827
194,2010,89.0,1295.88,17.59,Algeria,Potatoes,270526
195,2010,89.0,1295.88,17.59,Algeria,"Rice, paddy",15305
196,2010,89.0,1295.88,17.59,Algeria,Sorghum,30286
197,2010,89.0,1295.88,17.59,Algeria,Wheat,14838
198,2011,89.0,13861.76,17.79,Algeria,Maize,23374
199,2011,89.0,13861.76,17.79,Algeria,Potatoes,292806
200,2011,89.0,13861.76,17.79,Algeria,"Rice, paddy",16081
201,2011,89.0,13861.76,17.79,Algeria,Sorghum,100000
202,2011,89.0,13861.76,17.79,Algeria,Wheat,17405
203,2012,89.0,17379.76,17.91,Algeria,Maize,25583
204,2012,89.0,17379.76,17.91,Algeria,Potatoes,304291
205,2012,89.0,17379.76,17.91,Algeria,"Rice, paddy",16667
206,2012,89.0,17379.76,17.91,Algeria,Sorghum,206000
207,2012,89.0,17379.76,17.91,Algeria,Wheat,17639
208,2013,89.0,17278.65,17.65,Algeria,Maize,33649
209,2013,89.0,17278.65,17.65,Algeria,Potatoes,303218
210,2013,89.0,17278.65,17.65,Algeria,"Rice, paddy",17778
211,2013,89.0,17278.65,17.65,Algeria,Sorghum,60000
212,2013,89.0,17278.65,17.65,Algeria,Wheat,19100
213,1990,1010.0,64.0,24.12,Angola,Cassava,41177
214,1990,1010.0,64.0,24.12,Angola,Maize,2736
215,1990,1010.0,64.0,24.12,Angola,Potatoes,40000
216,1990,1010.0,64.0,24.12,Angola,"Rice, paddy",9512
217,1990,1010.0,64.0,24.12,Angola,Sweet potatoes,89342
218,1990,1010.0,64.0,24.12,Angola,Wheat,7995
219,1991,1010.0,79.0,24.02,Angola,Cassava,40295
220,1991,1010.0,79.0,24.02,Angola,Maize,4013
221,1991,1010.0,79.0,24.02,Angola,Potatoes,40000
222,1991,1010.0,79.0,24.02,Angola,"Rice, paddy",10000
223,1991,1010.0,79.0,24.02,Angola,Sweet potatoes,83001
224,1991,1010.0,79.0,24.02,Angola,Wheat,8000
225,1992,1010.0,23.0,23.96,Angola,Cassava,42295
226,1992,1010.0,23.0,23.96,Angola,Maize,3778
227,1992,1010.0,23.0,23.96,Angola,Potatoes,40000
228,1992,1010.0,23.0,23.96,Angola,"Rice, paddy",9106
229,1992,1010.0,23.0,23.96,Angola,Sweet potatoes,90000
230,1992,1010.0,23.0,23.96,Angola,Wheat,8000
231,1993,1010.0,169.0,24.15,Angola,Cassava,42295
232,1993,1010.0,169.0,24.15,Angola,Maize,2627
233,1993,1010.0,169.0,24.15,Angola,Potatoes,70000
234,1993,1010.0,169.0,24.15,Angola,"Rice, paddy",8000
235,1993,1010.0,169.0,24.15,Angola,Sweet potatoes,88095
236,1993,1010.0,169.0,24.15,Angola,Wheat,8876
237,1994,1010.0,25.5,24.04,Angola,Cassava,58596
238,1994,1010.0,25.5,24.04,Angola,Maize,2463
239,1994,1010.0,25.5,24.04,Angola,Potatoes,90000
240,1994,1010.0,25.5,24.04,Angola,"Rice, paddy",8750
241,1994,1010.0,25.5,24.04,Angola,Sweet potatoes,83192
242,1994,1010.0,25.5,24.04,Angola,Wheat,10000
243,1995,1010.0,336.0,24.56,Angola,Cassava,51000
244,1995,1010.0,336.0,24.56,Angola,Maize,3517
245,1995,1010.0,336.0,24.56,Angola,Potatoes,76738
246,1995,1010.0,336.0,24.56,Angola,"Rice, paddy",14615
247,1995,1010.0,336.0,24.56,Angola,Sweet potatoes,81138
248,1995,1010.0,336.0,24.56,Angola,Wheat,11855
249,1996,1010.0,40.0,24.11,Angola,Cassava,48077
250,1996,1010.0,40.0,24.11,Angola,Maize,6993
251,1996,1010.0,40.0,24.11,Angola,Potatoes,70000
252,1996,1010.0,40.0,24.11,Angola,"Rice, paddy",17500
253,1996,1010.0,40.0,24.11,Angola,Sweet potatoes,85455
254,1996,1010.0,40.0,24.11,Angola,Wheat,13738
255,1997,1010.0,40.0,24.06,Angola,Cassava,44205
256,1997,1010.0,40.0,24.06,Angola,Maize,5959
257,1997,1010.0,40.0,24.06,Angola,Potatoes,68571
258,1997,1010.0,40.0,24.06,Angola,"Rice, paddy",20000
259,1997,1010.0,40.0,24.06,Angola,Sweet potatoes,78098
260,1997,1010.0,40.0,24.06,Angola,Wheat,15509
261,1998,1010.0,40.0,24.96,Angola,Cassava,55728
262,1998,1010.0,40.0,24.96,Angola,Maize,7396
263,1998,1010.0,40.0,24.96,Angola,Potatoes,62724
264,1998,1010.0,40.0,24.96,Angola,"Rice, paddy",20000
265,1998,1010.0,40.0,24.96,Angola,Sweet potatoes,76256
266,1998,1010.0,40.0,24.96,Angola,Wheat,17143
267,1999,1010.0,40.0,24.37,Angola,Cassava,59821
268,1999,1010.0,40.0,24.37,Angola,Maize,6361
269,1999,1010.0,40.0,24.37,Angola,Potatoes,54597
270,1999,1010.0,40.0,24.37,Angola,"Rice, paddy",14235
271,1999,1010.0,40.0,24.37,Angola,Sweet potatoes,82865
272,1999,1010.0,40.0,24.37,Angola,Wheat,17391
273,2000,1010.0,40.0,24.41,Angola,Cassava,82992
274,2000,1010.0,40.0,24.41,Angola,Maize,5745
275,2000,1010.0,40.0,24.41,Angola,Potatoes,29885
276,2000,1010.0,40.0,24.41,Angola,"Rice, paddy",13454
277,2000,1010.0,40.0,24.41,Angola,Sorghum,3333
278,2000,1010.0,40.0,24.41,Angola,Soybeans,2333
279,2000,1010.0,40.0,24.41,Angola,Sweet potatoes,34938
280,2000,1010.0,40.0,24.41,Angola,Wheat,17023
281,2001,1010.0,40.0,24.43,Angola,Cassava,94072
282,2001,1010.0,40.0,24.43,Angola,Maize,5754
283,2001,1010.0,40.0,24.43,Angola,Potatoes,42552
284,2001,1010.0,40.0,24.43,Angola,"Rice, paddy",13701
285,2001,1010.0,40.0,24.43,Angola,Sorghum,3571
286,2001,1010.0,40.0,24.43,Angola,Soybeans,2500
287,2001,1010.0,40.0,24.43,Angola,Sweet potatoes,44458
288,2001,1010.0,40.0,24.43,Angola,Wheat,16667
289,2002,1010.0,40.0,24.79,Angola,Cassava,110071
290,2002,1010.0,40.0,24.79,Angola,Maize,6706
291,2002,1010.0,40.0,24.79,Angola,Potatoes,42754
292,2002,1010.0,40.0,24.79,Angola,"Rice, paddy",13198
293,2002,1010.0,40.0,24.79,Angola,Sorghum,3400
294,2002,1010.0,40.0,24.79,Angola,Soybeans,2857
295,2002,1010.0,40.0,24.79,Angola,Sweet potatoes,42190
296,2002,1010.0,40.0,24.79,Angola,Wheat,15455
297,2004,1010.0,40.0,24.22,Angola,Cassava,125605
298,2004,1010.0,40.0,24.22,Angola,Maize,5404
299,2004,1010.0,40.0,24.22,Angola,Potatoes,20150
300,2004,1010.0,40.0,24.22,Angola,"Rice, paddy",11584
301,2004,1010.0,40.0,24.22,Angola,Sorghum,3333
302,2004,1010.0,40.0,24.22,Angola,Soybeans,3600
303,2004,1010.0,40.0,24.22,Angola,Sweet potatoes,45360
304,2004,1010.0,40.0,24.22,Angola,Wheat,12442
305,2005,1010.0,40.0,24.41,Angola,Cassava,117628
306,2005,1010.0,40.0,24.41,Angola,Maize,6736
307,2005,1010.0,40.0,24.41,Angola,Potatoes,23646
308,2005,1010.0,40.0,24.41,Angola,"Rice, paddy",6977
309,2005,1010.0,40.0,24.41,Angola,Sorghum,3333
310,2005,1010.0,40.0,24.41,Angola,Soybeans,3793
311,2005,1010.0,40.0,24.41,Angola,Sweet potatoes,46159
312,2005,1010.0,40.0,24.41,Angola,Wheat,10946
313,2006,1010.0,40.0,24.14,Angola,Cassava,117201
314,2006,1010.0,40.0,24.14,Angola,Maize,4687
315,2006,1010.0,40.0,24.14,Angola,Potatoes,52148
316,2006,1010.0,40.0,24.14,Angola,"Rice, paddy",4947
317,2006,1010.0,40.0,24.14,Angola,Sorghum,4091
318,2006,1010.0,40.0,24.14,Angola,Soybeans,4286
319,2006,1010.0,40.0,24.14,Angola,Sweet potatoes,44240
320,2006,1010.0,40.0,24.14,Angola,Wheat,10000
321,2007,1010.0,40.0,24.24,Angola,Cassava,115387
322,2007,1010.0,40.0,24.24,Angola,Maize,5091
323,2007,1010.0,40.0,24.24,Angola,Potatoes,62138
324,2007,1010.0,40.0,24.24,Angola,"Rice, paddy",5143
325,2007,1010.0,40.0,24.24,Angola,Sorghum,4031
326,2007,1010.0,40.0,24.24,Angola,Soybeans,6883
327,2007,1010.0,40.0,24.24,Angola,Sweet potatoes,58855
328,2007,1010.0,40.0,24.24,Angola,Wheat,10000
329,2008,1010.0,40.0,24.27,Angola,Cassava,148084
330,2008,1010.0,40.0,24.27,Angola,Maize,7946
331,2008,1010.0,40.0,24.27,Angola,Potatoes,85085
332,2008,1010.0,40.0,24.27,Angola,"Rice, paddy",5084
333,2008,1010.0,40.0,24.27,Angola,Sorghum,929
334,2008,1010.0,40.0,24.27,Angola,Soybeans,8575
335,2008,1010.0,40.0,24.27,Angola,Sweet potatoes,65437
336,2008,1010.0,40.0,24.27,Angola,Wheat,10000
337,2009,1010.0,40.0,24.33,Angola,Cassava,151759
338,2009,1010.0,40.0,24.33,Angola,Maize,6614
339,2009,1010.0,40.0,24.33,Angola,Potatoes,86509
340,2009,1010.0,40.0,24.33,Angola,"Rice, paddy",6028
341,2009,1010.0,40.0,24.33,Angola,Sorghum,2480
342,2009,1010.0,40.0,24.33,Angola,Soybeans,4449
343,2009,1010.0,40.0,24.33,Angola,Sweet potatoes,66475
344,2009,1010.0,40.0,24.33,Angola,Wheat,10000
345,2010,1010.0,40.0,24.44,Angola,Cassava,155782
346,2010,1010.0,40.0,24.44,Angola,Maize,7200
347,2010,1010.0,40.0,24.44,Angola,Potatoes,87425
348,2010,1010.0,40.0,24.44,Angola,"Rice, paddy",7403
349,2010,1010.0,40.0,24.44,Angola,Sorghum,2814
350,2010,1010.0,40.0,24.44,Angola,Soybeans,4446
351,2010,1010.0,40.0,24.44,Angola,Sweet potatoes,63001
352,2010,1010.0,40.0,24.44,Angola,Wheat,10526
353,2011,1010.0,40.0,24.15,Angola,Cassava,133649
354,2011,1010.0,40.0,24.15,Angola,Maize,7376
355,2011,1010.0,40.0,24.15,Angola,Potatoes,81366
356,2011,1010.0,40.0,24.15,Angola,"Rice, paddy",8914
357,2011,1010.0,40.0,24.15,Angola,Sorghum,3320
358,2011,1010.0,40.0,24.15,Angola,Soybeans,5294
359,2011,1010.0,40.0,24.15,Angola,Sweet potatoes,65512
360,2011,1010.0,40.0,24.15,Angola,Wheat,10959
361,2012,1010.0,40.0,24.24,Angola,Cassava,100073
362,2012,1010.0,40.0,24.24,Angola,Maize,7770
363,2012,1010.0,40.0,24.24,Angola,Potatoes,69381
364,2012,1010.0,40.0,24.24,Angola,"Rice, paddy",7703
365,2012,1010.0,40.0,24.24,Angola,Sorghum,998
366,2012,1010.0,40.0,24.24,Angola,Soybeans,1641
367,2012,1010.0,40.0,24.24,Angola,Sweet potatoes,52954
368,2012,1010.0,40.0,24.24,Angola,Wheat,11258
369,2013,1010.0,40.0,24.55,Angola,Cassava,140517
370,2013,1010.0,40.0,24.55,Angola,Maize,9467
371,2013,1010.0,40.0,24.55,Angola,Potatoes,63303
372,2013,1010.0,40.0,24.55,Angola,"Rice, paddy",12744
373,2013,1010.0,40.0,24.55,Angola,Sorghum,2415
374,2013,1010.0,40.0,24.55,Angola,Soybeans,4405
375,2013,1010.0,40.0,24.55,Angola,Sweet potatoes,73409
376,2013,1010.0,40.0,24.55,Angola,Wheat,9022
377,1990,591.0,26156.0,17.46,Argentina,Cassava,100000
378,1990,591.0,26156.0,17.67,Argentina,Cassava,100000
379,1990,591.0,26156.0,17.46,Argentina,Maize,34608
380,1990,591.0,26156.0,17.67,Argentina,Maize,34608
381,1990,591.0,26156.0,17.46,Argentina,Potatoes,202747
382,1990,591.0,26156.0,17.67,Argentina,Potatoes,202747
383,1990,591.0,26156.0,17.46,Argentina,"Rice, paddy",36709
384,1990,591.0,26156.0,17.67,Argentina,"Rice, paddy",36709
385,1990,591.0,26156.0,17.46,Argentina,Sorghum,28116
386,1990,591.0,26156.0,17.67,Argentina,Sorghum,28116
387,1990,591.0,26156.0,17.46,Argentina,Soybeans,21566
388,1990,591.0,26156.0,17.67,Argentina,Soybeans,21566
389,1990,591.0,26156.0,17.46,Argentina,Sweet potatoes,131864
390,1990,591.0,26156.0,17.67,Argentina,Sweet potatoes,131864
391,1990,591.0,26156.0,17.46,Argentina,Wheat,18947
392,1990,591.0,26156.0,17.67,Argentina,Wheat,18947
393,1991,591.0,26156.0,17.64,Argentina,Cassava,100000
394,1991,591.0,26156.0,17.86,Argentina,Cassava,100000
395,1991,591.0,26156.0,17.64,Argentina,Maize,40444
396,1991,591.0,26156.0,17.86,Argentina,Maize,40444
397,1991,591.0,26156.0,17.64,Argentina,Potatoes,205692
398,1991,591.0,26156.0,17.86,Argentina,Potatoes,205692
399,1991,591.0,26156.0,17.64,Argentina,"Rice, paddy",40294
400,1991,591.0,26156.0,17.86,Argentina,"Rice, paddy",40294
401,1991,591.0,26156.0,17.64,Argentina,Sorghum,33320
402,1991,591.0,26156.0,17.86,Argentina,Sorghum,33320
403,1991,591.0,26156.0,17.64,Argentina,Soybeans,22750
404,1991,591.0,26156.0,17.86,Argentina,Soybeans,22750
405,1991,591.0,26156.0,17.64,Argentina,Sweet potatoes,131364
406,1991,591.0,26156.0,17.86,Argentina,Sweet potatoes,131364
407,1991,591.0,26156.0,17.64,Argentina,Wheat,18972
408,1991,591.0,26156.0,17.86,Argentina,Wheat,18972
409,1992,591.0,26156.0,17.09,Argentina,Cassava,100000
410,1992,591.0,26156.0,17.51,Argentina,Cassava,100000
411,1992,591.0,26156.0,17.09,Argentina,Maize,45237
412,1992,591.0,26156.0,17.51,Argentina,Maize,45237
413,1992,591.0,26156.0,17.09,Argentina,Potatoes,199039
414,1992,591.0,26156.0,17.51,Argentina,Potatoes,199039
415,1992,591.0,26156.0,17.09,Argentina,"Rice, paddy",52075
416,1992,591.0,26156.0,17.51,Argentina,"Rice, paddy",52075
417,1992,591.0,26156.0,17.09,Argentina,Sorghum,36217
418,1992,591.0,26156.0,17.51,Argentina,Sorghum,36217
419,1992,591.0,26156.0,17.09,Argentina,Soybeans,22915
420,1992,591.0,26156.0,17.51,Argentina,Soybeans,22915
421,1992,591.0,26156.0,17.09,Argentina,Sweet potatoes,127273
422,1992,591.0,26156.0,17.51,Argentina,Sweet potatoes,127273
423,1992,591.0,26156.0,17.09,Argentina,Wheat,21809
424,1992,591.0,26156.0,17.51,Argentina,Wheat,21809
425,1993,591.0,26156.0,17.32,Argentina,Cassava,100000
426,1993,591.0,26156.0,17.53,Argentina,Cassava,100000
427,1993,591.0,26156.0,17.32,Argentina,Maize,43552
428,1993,591.0,26156.0,17.53,Argentina,Maize,43552
429,1993,591.0,26156.0,17.32,Argentina,Potatoes,210314
430,1993,591.0,26156.0,17.53,Argentina,Potatoes,210314
431,1993,591.0,26156.0,17.32,Argentina,"Rice, paddy",43559
432,1993,591.0,26156.0,17.53,Argentina,"Rice, paddy",43559
433,1993,591.0,26156.0,17.32,Argentina,Sorghum,39529
434,1993,591.0,26156.0,17.53,Argentina,Sorghum,39529
435,1993,591.0,26156.0,17.32,Argentina,Soybeans,21589
436,1993,591.0,26156.0,17.53,Argentina,Soybeans,21589
437,1993,591.0,26156.0,17.32,Argentina,Sweet potatoes,122955
438,1993,591.0,26156.0,17.53,Argentina,Sweet potatoes,122955
439,1993,591.0,26156.0,17.32,Argentina,Wheat,23272
440,1993,591.0,26156.0,17.53,Argentina,Wheat,23272
441,1994,591.0,30195.0,18.17,Argentina,Cassava,100000
442,1994,591.0,30195.0,18.31,Argentina,Cassava,100000
